Year,Expenditures
1959,18834.00
1960,19607.00
1961,20385.00
1962,21595.00
1963,22557.00
1964,24022.00
1965,26197.00
1966,28701.00
1967,30419.00
1968,33460.00
1969,36115.00
1970,39583.00
1971,42251.00
1972,46587.00
1973,52650.00
1974,58045.00
1975,68109.00
1976,76833.00
1977,84835.00
1978,96084.00
1979,109171.00
1980,120296.00
1981,130914.00
1982,139776.00
1983,150883.00
1984,161046.00
1985,168831.00
1986,181695.00
1987,196556.96
1988,214395.33
1989,228448.75
1990,244974.81
1991,256337.47
1992,263442.24
1993,278450.64
1994,291001.73
1995,307297.17
1996,311582.47
1997,333386.86
1998,349976.49
1999,365853.41
2000,391085.57
2001,403405.52
2002,411570.80
2003,446356.17
2004,466035.43
2005,507603.70
2006,541794.60
2007,570526.67
2008,586703.50
2009,583135.08
2010,601383.01
2011,635179.96
2012,669719.51
2013,697605.41
2014,731257.63
