Year,Eating and drinking places,Hotels and motels,"Retail stores, direct selling",Recreational places,Schools and colleges,All other
1959,10102.00,982.00,1677.00,385.00,1949.00,3739.00
1960,10505.00,1028.00,1716.00,421.00,2082.00,3855.00
1961,10907.00,1061.00,1740.00,452.00,2264.00,3961.00
1962,11624.00,1134.00,1812.00,472.00,2463.00,4090.00
1963,12247.00,1200.00,1854.00,484.00,2624.00,4148.00
1964,13156.00,1289.00,1988.00,496.00,2814.00,4279.00
1965,14444.00,1409.00,2162.00,522.00,3062.00,4598.00
1966,15768.00,1541.00,2346.00,544.00,3329.00,5173.00
1967,16595.00,1623.00,2436.00,563.00,3632.00,5570.00
1968,18695.00,1703.00,2713.00,616.00,3903.00,5830.00
1969,20207.00,1716.00,2984.00,661.00,4256.00,6291.00
1970,22617.00,1894.00,3325.00,721.00,4475.00,6551.00
1971,24166.00,2086.00,3626.00,762.00,4990.00,6621.00
1972,27167.00,2390.00,3811.00,832.00,5370.00,7017.00
1973,31265.00,2639.00,4218.00,963.00,5605.00,7960.00
1974,34029.00,2864.00,4520.00,1167.00,6287.00,9178.00
1975,41384.00,3199.00,4952.00,1369.00,7060.00,10145.00
1976,47536.00,3769.00,5341.00,1511.00,7854.00,10822.00
1977,52491.00,4115.00,5663.00,2606.00,8413.00,11547.00
1978,60042.00,4863.00,6323.00,2810.00,9034.00,13012.00
1979,68872.00,5551.00,7157.00,2921.00,9914.00,14756.00
1980,75883.00,5906.00,8158.00,3040.00,11115.00,16194.00
1981,83358.00,6639.00,8830.00,2979.00,11357.00,17751.00
1982,90390.00,6888.00,9256.00,2887.00,11692.00,18663.00
1983,98710.00,7660.00,9827.00,3271.00,12338.00,19077.00
1984,105836.00,8409.00,10315.00,3489.00,12950.00,20047.00
1985,111760.00,9168.00,10499.00,3737.00,13534.00,20133.00
1986,121699.00,9665.00,11116.00,4059.00,14401.00,20755.00
1987,137190.00,11117.00,9302.35,4396.00,13470.00,21081.62
1988,150724.00,11905.00,10359.23,5082.00,13889.00,22436.10
1989,160225.79,12179.10,11368.97,6088.87,14609.03,23976.99
1990,171616.08,12508.42,12786.39,7206.10,15299.38,25558.44
1991,180061.54,12459.72,13515.26,7935.56,16185.87,26179.52
1992,184696.78,13204.22,11816.87,8509.10,17665.95,27549.33
1993,197864.63,13361.95,11790.18,9360.76,18330.51,27742.61
1994,207464.48,13880.41,12014.74,10103.30,19270.79,28268.01
1995,221205.35,14210.63,11848.23,11109.64,20063.75,28859.56
1996,223405.89,14553.00,11959.03,11511.93,20866.73,29285.88
1997,242361.68,15381.21,10679.41,12126.07,21900.55,30937.94
1998,255375.73,16068.90,11334.67,12790.42,23052.57,31354.20
1999,266450.81,16710.06,12463.23,13493.11,23920.00,32816.20
2000,287331.98,18002.74,13608.24,14223.51,24468.00,33451.10
2001,293911.03,20813.29,14596.60,14779.76,25394.00,33910.84
2002,295628.61,21512.75,17319.30,15873.37,26735.00,34501.77
2003,324994.93,21914.18,18272.22,17327.27,28077.00,35770.58
2004,338105.14,23461.95,19429.99,18265.41,30184.48,36588.46
2005,372094.29,24569.63,20677.43,20224.98,31521.22,38516.15
2006,397681.84,25328.42,21616.19,22665.29,33768.56,40734.30
2007,419653.50,25588.08,22231.20,24284.92,36378.57,42390.40
2008,431291.49,26085.13,22926.99,24645.00,38523.74,43231.14
2009,427019.88,25256.66,22088.17,24121.51,40735.88,43912.98
2010,441404.66,25540.75,22775.89,24625.03,43149.43,43887.25
2011,469380.64,25828.06,24095.82,25257.05,45107.71,45510.69
2012,498281.14,26410.85,24926.31,26394.65,46617.08,47089.47
2013,521344.13,26500.68,25007.19,27503.97,48082.78,49166.65
2014,549487.75,26646.75,25356.51,27805.93,50857.29,51103.41
