Year,Women labor force (in thousands),Men labor force (in thousands),Women labor force (%),Men labor force (%),Women labor force round,Men labor force round
1948,17335,43286,28.6,71.4,29,71
1949,17788,43498,29,71,29,71
1950,18389,43819,29.6,70.4,30,70
1951,19016,43001,30.7,69.3,31,69
1952,19269,42869,31,69,31,69
1953,19382,43633,30.8,69.2,31,69
1954,19678,43965,30.9,69.1,31,69
1955,20548,44475,31.6,68.4,32,68
1956,21461,45091,32.2,67.8,32,68
1957,21732,45197,32.5,67.5,33,68
1958,22118,45521,32.7,67.3,33,67
1959,22483,45886,32.9,67.1,33,67
1960,23240,46388,33.4,66.6,33,67
1961,23806,46653,33.8,66.2,34,66
1962,24014,46600,34,66,34,66
1963,24704,47129,34.4,65.6,34,66
1964,25412,47679,34.8,65.2,35,65
1965,26200,48255,35.2,64.8,35,65
1966,27299,48471,36,64,36,64
1967,28360,48987,36.7,63.3,37,63
1968,29204,49533,37.1,62.9,37,63
1969,30513,50221,37.8,62.2,38,62
1970,31543,51228,38.1,61.9,38,62
1971,32202,52180,38.2,61.8,38,62
1972,33479,53555,38.5,61.5,39,62
1973,34804,54624,38.9,61.1,39,61
1974,36211,55739,39.4,60.6,39,61
1975,37475,56299,40,60,40,60
1976,38983,57174,40.5,59.5,41,60
1977,40613,58396,41,59,41,59
1978,42631,59620,41.7,58.3,42,58
1979,44235,60726,42.1,57.9,42,58
1980,45487,61453,42.5,57.5,43,58
1981,46696,61974,43,57,43,57
1982,47755,62450,43.3,56.7,43,57
1983,48503,63047,43.5,56.5,44,57
1984,49709,63835,43.8,56.2,44,56
1985,51050,64411,44.2,55.8,44,56
1986,52413,65422,44.5,55.5,45,56
1987,53658,66207,44.8,55.2,45,55
1988,54742,66927,45,55,45,55
1989,56030,67840,45.2,54.8,45,55
1990,56829,69011,45.2,54.8,45,55
1991,57178,69168,45.3,54.7,45,55
1992,58141,69964,45.4,54.6,45,55
1993,58795,70404,45.5,54.5,46,55
1994,60239,70817,46,54,46,54
1995,60944,71360,46.1,53.9,46,54
1996,61857,72087,46.2,53.8,46,54
1997,63036,73261,46.2,53.8,46,54
1998,63714,73959,46.3,53.7,46,54
1999,64855,74512,46.5,53.5,47,54
2000,66303,76280,46.5,53.5,47,54
2001,66848,76886,46.5,53.5,47,54
2002,67363,77500,46.5,53.5,47,54
2003,68272,78238,46.6,53.4,47,53
2004,68421,78980,46.4,53.6,46,54
2005,69288,80033,46.4,53.6,46,54
2006,70173,81255,46.3,53.7,46,54
2007,70988,82136,46.4,53.6,46,54
2008,71767,82520,46.5,53.5,47,54
2009,72019,82123,46.7,53.3,47,53
2010,71904,81985,46.7,53.3,47,53
2011,71642,81975,46.6,53.4,47,53
2012,72648,82327,46.9,53.1,47,53
2013,72722,82667,46.8,53.2,47,53
2014,73039,82882,46.8,53.2,47,53
2015,73510,83620,46.8,53.2,47,53
