Country,Time,Latitude,Longitude
India,113.14,20.5937,78.96
Ukraine,112.29,48.3794,31.17
Egypt,81.43,30.5595,22.94
Indonesia,71.14,0.7893,113.92
Italy,60.86,41.8719,12.57
Spain,58.29,40.4637,-3.75
Russia,55.71,61.524,105.32
Canada,54.86,56.1304,-106.35
Australia,52.29,-25.2744,133.78
Poland,52.29,52.196217,21.18
Argentina,51.43,-38.4161,-63.62
Belgium,50.57,50.5039,4.47
UK,50.57,55.3781,-3.44
United States,50.57,37.0902,-95.71
China,49.71,35.8617,104.20
Mexico,49.71,23.6345,-102.55
Sweden,49.71,60.1282,18.64
France,47.14,46.2276,2.21
Germany,46.29,51.1657,10.45
Brazil,44.57,-14.235,-51.93
Turkey,42,38.9637,35.24
South Korea,31.71,35.9078,127.77
